Priority,Business Name,Type,Phone,Rating,Reviews,Address,Maps Link,Website
C - Restaurant,Mama Da Dhaba,indian_restaurant,099683 56886,4.1,152,"Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=11137089458498549806&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,
C - Restaurant,Easy Tiger by Boraan Thai,thai_restaurant,092661 21836,4.4,144,"Global Gateway Towers, Mehrauli-Gurgaon Rd, Sikanderpur, Sector 26, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=4692119090423543004&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,http://www.easytiger.co.in/
C - Restaurant,Miss Margarita (Gurugram),mexican_restaurant,092206 91966,4,139,"Ground Floor, Unit-8, Global Gateway Towers, Sikanderpur, A Virendra Gram, Sector 26, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=186536808833177545&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,
C - Restaurant,Chaap Guru,indian_restaurant,099966 69082,4.8,139,"Shop no 112, Basement Market, Galli Number 69, U Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122001, India",https://maps.google.com/?cid=3653319341963147472&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,
C - Restaurant,Laidback Cafe - Ambience Mall,restaurant,082870 38856,4.5,138,"3rd Floor, Ambience Mall, NH 8, Ambience Island, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=426777529727463665&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://www.laidbackcafe.in/
C - Restaurant,Restaurant,breakfast_restaurant,0124 383 1273,4.3,132,"15/1 Ground Floor, Hyatt Place, Old Delhi Gurugram Rd, Electronic City, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=11456325292973391009&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://www.hyattrestaurants.com/en/dining/india/gurgaon/multi-cuisine-restaurant-in-gurugram-udyog-vihar-gallery-cafe-hyatt-place?utm_source=onlinedeliverylisting_DELZO&utm_medium=restaurant&utm_campaign=OnlineDelivery
C - Restaurant,𝐏𝐔𝐊𝐇𝐓𝐀𝐀𝐍 𝐒𝐄𝐂𝐓𝐎𝐑 𝟐𝟐- 𝐋𝐄𝐆𝐀𝐂𝐘 𝐎𝐅 𝐏𝐀𝐃𝐌𝐀𝐒𝐇𝐑𝐈 𝐂𝐇𝐄𝐅 𝐈𝐌𝐓𝐈𝐀𝐙 𝐐𝐔𝐑𝐄𝐒𝐇𝐈,restaurant,093553 00900,4,126,"Shop-1, Shiv ashram compound, Old Delhi Gurugram Rd, near sector-22, Sector 22A, Sector 22, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=15213431180214324977&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,
C - Restaurant,Palmyra,buffet_restaurant,0124 435 1111,4.1,113,"""The Bristol Hotel "", F3HR+MMH, NH 236, Saraswati Vihar, DLF Phase 1, Sector 26, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=8412386215605762483&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,http://thebristolhotel.com/
C - Restaurant,The Fio Table - Gurugram,restaurant,093118 47292,4.3,110,"Unit No. 2, Ground Floor, Global Gateway Towers, A, Mehrauli-Gurgaon Rd, Sikanderpur, Sector 26, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=6259812237938494333&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,
C - Restaurant,Dom Dang Restaurant,chinese_restaurant,093196 47469,4.7,105,"LGF, shop no-112,u block, stop n shop market, U Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=14820728808384984240&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,
C - Restaurant,ASPER - Cocktail Bar,restaurant,093194 47114,4.5,93,"Global Gateway, The Kitchens, Tower A, Sikanderpur, Sector 26A, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=15020769836610192287&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,http://asperindia.com/
C - Restaurant,Diversion Dine,north_indian_restaurant,095608 07789,4.5,83,"Shop No. 3, Ambience Island, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=13051750543956616964&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://m.facebook.com/diversiondinein
C - Restaurant,Sarvachi Mumbai Vada Pav,indian_restaurant,098115 38425,4.9,81,"Shop No 110, Basement Market, U Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=6336496131829964918&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://sarvachi-mumbai-vada.grexa.site/
C - Restaurant,The Grills King,buffet_restaurant,0124 400 5772,4.2,79,"Ground Floor, MGF Metropolitan Mall, Mehrauli-Gurgaon Rd, Heritage City, Sector 25, Gurugram, Haryana 122009, India",https://maps.google.com/?cid=13311061213443357878&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,
C - Restaurant,The Sweet Space,restaurant,074282 24400,4.9,76,"47, K-10, Phase I, DLF Phase 2, Sector 25, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=15922300211128414396&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,
C - Restaurant,Saffron,indian_restaurant,0124 245 0505,4.5,74,"443, Udyog Vihar, Phase V, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=2289836230612355993&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://www.tridenthotels.com/hotels-in-gurgaon/restaurant-in-gurgaon/saffron?utm_source=GMBlisting&utm_medium=organic
C - Restaurant,Mughal Sarai (Authentic Mughlai),north_indian_restaurant,088606 44837,4.5,68,"Club Essel Tower, Essel Towers, Mehrauli-Gurgaon Rd, Indian Airlines Pilots Society, Sushant Lok Phase I, Gurugram, Haryana 122009, India",https://maps.google.com/?cid=15180943864773972803&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,http://mugalsarai.dotpe.in/
C - Restaurant,Casa Dona | Food Court,mexican_restaurant,080060 08909,4.7,67,"Casa Dona Food Court Quattro Iconic, Plot No.273, Udyog Vihar II Rd, Udyog Vihar Phase 1, Udyog Vihar, Sector 20, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=4636406191652334623&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://mycasadona.com/casa-dona-food-court/
C - Restaurant,VYANJAN 2.0,chinese_restaurant,097111 10289,2.9,54,"Shop No. 1, near vatika, Saraswati Vihar, Maruti Housing Colony, market, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=9189562411884709256&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://vynjn20.wixsite.com/vyanjan20
C - Restaurant,Happy Ratio | Udyog Vihar Gurgaon,restaurant,078277 53669,4.6,39,"Plot 651 & 652, Udyog Vihar 3, Udyog Vihar, Sector 19, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=16307789150224162288&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,http://happyratio.com/
C - Restaurant,vaango,vegetarian_restaurant,096602 93729,4.4,37,"Ambience Mall, NH 8, Ambience Island, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=18088696838326647294&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,
C - Restaurant,Basil Health,restaurant,084477 22196,3.7,28,"Second floor, Food court, Ambience Island, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=12855083058714202376&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://www.basil.health/
C - Restaurant,Taco Bell,restaurant,084489 92836,1.8,26,"3rd Floor, Ambience Mall, NH 8, Ambience Island, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=11964046786663401295&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://www.tacobell.co.in/
C - Restaurant,"Charcoal Eats, Natupura",indian_restaurant,090225 00500,3.4,22,"Jeena Number 4, 1st Floor, H16/6, Sikanderpur, DLF Phase 1, Sector 26, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=8818784738255952897&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,http://www.charcoaleats.com/
C - Restaurant,"Domino's Pizza | DLF Cyber City, Gurugram",pizza_restaurant,1800 208 1234,3.9,22,"Upper Ground Floor, Park-N-Shop, DLF City, Shop No. 201 & 202, L Block, Sector 28, DLF Phase 2, Gurugram, Haryana 122009, India",https://maps.google.com/?cid=15892828427294091619&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://www.dominos.co.in/store-locations/?src=local_gmb&utm_source=Google_GMB&utm_medium=GMB_SEO_urls_website
C - Restaurant,The Anna's Hut,south_indian_restaurant,083686 93202,3.4,22,"U-16/31, 32, near Yadav Properties, U Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=15315028223252708110&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://magicpin.in/Gurgaon/Dlf-phase-3/Restaurant/The-annas-hut/store/a78967/?utm_source=gbp
C - Restaurant,Mala Akhbari,north_indian_restaurant,099585 70381,4.8,22,"G33X+833, Ambience Island, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=3756720711401957664&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,
C - Restaurant,Chini Bowl,chinese_restaurant,098711 60169,3.9,20,"Club, Essel Towers, Mehrauli-Gurgaon Rd, Indian Airlines Pilots Society, Sushant Lok Phase I, Gurugram, Haryana 122009, India",https://maps.google.com/?cid=6474910880470628567&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,
