name,primary_type,all_types,phone,website,address,rating,reviews,status,maps_url,place_id
TYKE PARK PVT LTD,parking,parking|transportation_service|point_of_interest|establishment,,,"Farm No 36, D Block, Kapas Hera Estate, New Delhi, Delhi 110097, India",5,1,OPERATIONAL,https://maps.google.com/?cid=5095412533994680912&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJNQsbWW4ZDTkRUHLT-LOKtkY
"Luxorides | Premium and Luxury Cabs for Tours, Travel and Delhi Airport Transfers",,car_rental|airport_shuttle_service|chauffeur_service|taxi_service|transportation_service|service|point_of_interest|establishment,087006 63974,https://luxorides.com/rent-luxury-cars-in-delhi.html,"Farm 47, Umbrella Estate Rd, D Block, Kapas Hera Estate, New Delhi, Delhi 110037, India",5,8,OPERATIONAL,https://maps.google.com/?cid=305312114705658488&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ13caZtoZDTkReHKnLsCvPAQ
Overseas Courier Service India Pvt Ltd,corporate_office,corporate_office|courier_service|shipping_service|service|point_of_interest|establishment,011 6920 1800,https://ocs-india.co/,"THE ONE, KHASRA NO 30, REVENUE ESTATE OF KAPASHERA, 14/1, D Block, Kapas Hera Estate, New Delhi, Delhi 110037, India",4.8,12,OPERATIONAL,https://maps.google.com/?cid=13943753874199021018&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJdTIOKVUbDTkR2gUce0UqgsE
Parking,parking_lot,parking_lot|parking|transportation_service|service|point_of_interest|establishment,,,"G3CX+QG5, Yawantika Colony, Rangpuri, New Delhi, Delhi 110038, India",3,1,OPERATIONAL,https://maps.google.com/?cid=12882744785072873054&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJb3YsRv4bDTkRXt5IViC0yLI
Haveus warehouse,storage,storage|point_of_interest|establishment,,,"D Block, C21, D Block, Kapas Hera Estate, New Delhi, Delhi 110097, India",5,1,OPERATIONAL,https://maps.google.com/?cid=310812798918708546&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJfdGHbAAbDTkRQs0xB5g6UAQ
Leasewarehouse.in,real_estate_agency,real_estate_agency|consultant|general_contractor|service|point_of_interest|establishment,089295 80086,https://leasewarehouse.in/,"behind Fun N Food Village, D Block, Kapashera, New Delhi, Delhi 110097, India",4.9,14,OPERATIONAL,https://maps.google.com/?cid=2030084814593084249&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJsavZE2YbDTkRWUu8DWJPLBw
Team computers ware house,storage,storage|point_of_interest|establishment,,,"G3FP+2H, D Block, Kapas Hera Estate, New Delhi, Delhi 110097, India",5,8,OPERATIONAL,https://maps.google.com/?cid=17406409681101980834&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJnVV7Df0bDTkRogQBwWH9j_E
DTDC Efulfillment Center - Kapashera,courier_service,courier_service|shipping_service|service|point_of_interest|establishment,095993 87311,http://www.dtdc.com/product-services#warehousing,"G3CP+VGW, D Block, Kapas Hera Estate, New Delhi, Delhi 110097, India",3.8,55,OPERATIONAL,https://maps.google.com/?cid=8953528101202116956&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJLYNozuMbDTkRXEGhxl5SQXw
Fulfilment Centre Delhi - FC 7,,point_of_interest|establishment,,,"27/9, Internal Road, behind Fun and Food Village, D Block, Kapashera, New Delhi, Delhi 110097, India",4.1,8,CLOSED_TEMPORARILY,https://maps.google.com/?cid=12977699975061332524&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJC1hv7SobDTkRLGIgV14NGrQ
TRx Logistics & support services,corporate_office,corporate_office|point_of_interest|establishment,011 4909 3349,http://trxlogistic.com/,"G3FP+5FP, Unnamed Road, D Block, Kapas Hera Estate, New Delhi, Delhi 110097, India",4.6,29,OPERATIONAL,https://maps.google.com/?cid=18004129798083760280&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ9yGyVqkbDTkRmNDOUKmE2_k
Kuber factory,storage,storage|point_of_interest|establishment,,,"C6, Kapashera Estate Rd, D Block, Kapas Hera Estate, New Delhi, Delhi 110097, India",,,OPERATIONAL,https://maps.google.com/?cid=9279622858384144765&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJm0KCaWkbDTkRffmU-9LXx4A
Dryden Energy Charging Station,electric_vehicle_charging_station,electric_vehicle_charging_station|transportation_service|point_of_interest|establishment,098110 67012,,"Kapashera, Gopal Chowk, 24, D Block, Kapas Hera Estate, New Delhi, Delhi 110097, India",3.6,17,OPERATIONAL,https://maps.google.com/?cid=9117910886666266132&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJaYQL9RYbDTkRFOZohaRTiX4
ChargeZone Charging Station,electric_vehicle_charging_station,electric_vehicle_charging_station|transportation_service|point_of_interest|establishment,1800 121 2025,https://ev-stations.chargezone.co.in/near-me/new-delhi/D-Block/chargezone-charging-station-in-D-Block-new-delhi--6AByfG/home,"D Block, Kapas Hera Estate, New Delhi, Delhi 110037, India",4,2,OPERATIONAL,https://maps.google.com/?cid=10125840859869238072&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJzU3fSHobDTkROFOk8Jw2how
