name,primary_type,all_types,phone,website,address,rating,reviews,status,maps_url,place_id
Biryani Au Dum,indian_restaurant,indian_restaurant|restaurant|food|point_of_interest|establishment,,,"48, S 1, DLF Phase IV, Sector 24, Gurugram, Haryana 122002, India",1.6,7,OPERATIONAL,https://maps.google.com/?cid=11583845835198130927&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJZw7VL9IeDTkR72rfy2kWwqA
D-1/24,association_or_organization,association_or_organization|point_of_interest|service|establishment,,,"D-1/24, near summer filed school, DLF Phase 1, Sector 26, Gurugram, Haryana 122010, India",,,OPERATIONAL,https://maps.google.com/?cid=3431520868577248944&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJhWxcGQAfDTkRsAbjigw2ny8
Tokas House,service,point_of_interest|service|establishment,,,"20, S 1, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",,,OPERATIONAL,https://maps.google.com/?cid=5145611822130365258&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJHVKLeQAfDTkRSoMhirDiaEc
Dawar Homes H block,apartment_building,apartment_building|point_of_interest|service|establishment,,,"F4M5+R3P, H-10 Rd, Block H, DLF Phase 1, Sector 26, Gurugram, Haryana 122002, India",,,OPERATIONAL,https://maps.google.com/?cid=9522075354836349794&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJt1gQegAfDTkRYrOFyRU1JYQ
Projector on Rent in Gurgaon I Event Capture,service,point_of_interest|service|establishment,074285 73845,https://www.eventcapture.in/,"1st Floor, G -13, DLF Phase 3, Guragon, Gurugram, Haryana 122010, India",,,OPERATIONAL,https://maps.google.com/?cid=15054710513995764141&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJhYxzgsAfDTkRrVEO_3IT7dA
CHINESE LIVE COUNTER,chinese_restaurant,chinese_restaurant|restaurant|food|point_of_interest|establishment,095215 70040,,"U 51/1, near Yadav property, U Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",4.8,9,OPERATIONAL,https://maps.google.com/?cid=7154305169687778505&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ3e4T3FEZDTkRyRT7jaUySWM
Mmansha Chadha,astrologer,astrologer|point_of_interest|establishment,098101 00283,,"W-9/24, 1st Floor, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",,,OPERATIONAL,https://maps.google.com/?cid=15179857836689633098&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJRbnDOtIeDTkRSq_QsEawqdI
"Brahma Kumaris (T Block, DLF)",health,health|point_of_interest|establishment,,,"T 7/16, 1st Floor, DLF Phase 3, Moulsari Ave, Enclave, Sector 24, Gurugram, Haryana 122002, India",,,OPERATIONAL,https://maps.google.com/?cid=9665284517317311&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJfzvOBgAfDTkRv8pOaoZWIgA
DesiCrew Solutions,corporate_office,corporate_office|point_of_interest|establishment,,http://www.desicrew.in/,"7, Nathupur Rd, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",,,OPERATIONAL,https://maps.google.com/?cid=11310325470221990769&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJZWHfZQAfDTkRcXuiKhdZ9pw
PG in DLF Phase 3 by Blossom Stayz,lodging,lodging|point_of_interest|establishment,080 4568 8221,https://www.blossomstayz.com/dlfphase3,"1, T19 Rd, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",1,1,OPERATIONAL,https://maps.google.com/?cid=1073676777493167172&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ06fIrxUfDTkRRPwQLld35g4
