name,primary_type,all_types,phone,website,address,rating,reviews,status,maps_url,place_id
Ayaan therapist,physiotherapist,physiotherapist|health|point_of_interest|establishment,,https://www.practo.com/,"1302, Sector 28, DLF Phase IV, Gurugram, Haryana 122009, India",4.5,2,OPERATIONAL,https://maps.google.com/?cid=4866152798929819116&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJDz2OalcZDTkR7BX8SjAMiEM
The Art KOTHI - Villa,lodging,lodging|point_of_interest|establishment,,https://www.bluepillow.com/search/694969490c60a53fb7d03ee8?dest=nuit&cat=Villa&lat=28.46934&lng=77.08163&language=en,"Sector 28, DLF City IV, Gurugram, Haryana 122009, India",,,OPERATIONAL,https://maps.google.com/?cid=8143201064810939684&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJvSlDRd4YDTkRJIWjUjl2AnE
Dityaa's Home,service,service|point_of_interest|establishment,,,"2002, Sector 28, DLF Phase IV, Gurugram, Haryana 122009, India",,,OPERATIONAL,https://maps.google.com/?cid=15585905266993545522&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJWxnrOwAZDTkRMkEKPkNCTNg
"The Art ""KOTHI""",service,private_guest_room|apartment_building|cafe|bed_and_breakfast|hotel|guest_house|lodging|service|food|point_of_interest|establishment,098871 70770,https://theartkothi.com/,"1509, Galleria Boulevard, Sector 28, DLF Phase IV, Gurugram, Haryana 122009, India",4.2,34,OPERATIONAL,https://maps.google.com/?cid=3005212717898947563&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJo4OP4TQZDTkR61vabAuptCk
Art KOTHI Gurgaon - Double Room with Balcony,lodging,lodging|point_of_interest|establishment,,,"Sector 28, DLF City IV, Gurugram, Haryana 122009, India",,,OPERATIONAL,https://maps.google.com/?cid=11634897444229960229&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJlRgmTt4YDTkRJVJtyZR1d6E
Art KOTHI Gurgaon - Superior King Room,lodging,lodging|point_of_interest|establishment,,https://www.bluepillow.com/search/6811ce756178c7268f2ecea9/1362612303?dest=bkng&cat=House&lat=28.46934&lng=77.08161&language=en,"Sector 28, DLF City IV, Gurugram, Haryana 122009, India",,,OPERATIONAL,https://maps.google.com/?cid=12348479407450310731&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJlRgmTt4YDTkRS0hNlZicXqs
Art KOTHI Gurgaon - King Room with Balcony,lodging,lodging|point_of_interest|establishment,,https://www.bluepillow.com/search/6811ce756178c7268f2ecea9/1362612302?dest=bkng&cat=House&lat=28.46934&lng=77.08161&language=en,"Sector 28, DLF City IV, Gurugram, Haryana 122009, India",,,OPERATIONAL,https://maps.google.com/?cid=16334659726621826574&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJlRgmTt4YDTkRDl4sBHpesOI
Vani Kabir Multiverse Pvt Ltd,jewelry_store,jewelry_store|point_of_interest|store|service|establishment,,https://www.vanikabirstudio.com/,"1107, Lotus Villa, Sector 28, DLF Phase IV, Gurugram, Haryana 122002, India",4.7,7,OPERATIONAL,https://maps.google.com/?cid=7167548591382389606&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJgaILKhoZDTkRZuOy83c_eGM
Housr Homes Lotus Villas,lodging,lodging|point_of_interest|service|establishment,090909 08778,https://housr.in/gurgaon/apartment-for-rent-in-dlf-phase-4/Housr-Homes-Lotus-Villas,"1115, Housr Homes, Lotus Villas, Sector 28, DLF Phase IV, Gurugram, Haryana 122009, India",5,6,OPERATIONAL,https://maps.google.com/?cid=2848609364589811871&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJvc8qjQoZDTkRnxg64B9LiCc
"The Hoften Enkay Residency, DLF Galleria",hotel,hotel|lodging|point_of_interest|establishment,098107 32640,https://www.alivaahotels.com/hoften/the-hoften-enkay-residency,"House no 1003, Sector 28, DLF City IV, Gurugram, Haryana 122009, India",5,6,OPERATIONAL,https://maps.google.com/?cid=13704593408875013462&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJITihTtkYDTkRVqUnZxh_ML4
