name,category,primary_type,phone_number,website,address,rating,reviews,maps_url
Dolphy India Pvt. Ltd- Delhi,manufacturer,manufacturer,9520202035,https://dolphy.in/,"Ground Floor, Plot No. 355, Udyog Vihar II Rd, Phase II, Udyog Vihar, Sector 20, Gurugram, Haryana 122016, India",4.7,30,https://maps.google.com/?cid=17597021176795681350&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Bilawat marbles,manufacturer,wholesaler,9540440836,https://www.bilawatmarbles.com/,"Opposite Near Pillar No. 223, M.G. Road, Border, Sikanderpur, Marbles Market, Aya Nagar, Gurugram, Haryana 122002, India",4.3,26,https://maps.google.com/?cid=5313974533976159780&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
LUSH & BEYOND,manufacturer,home_goods_store,9810549299,http://www.lushandbeyond.com/,"C3/19, DLF Phase 1, Sector 26, Gurugram, Haryana 122002, India",4.5,26,https://maps.google.com/?cid=15015258435994744251&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
OSWAL MARBLES,manufacturer,manufacturer,9818350816,http://www.oswalmarble.com/,"Oswal Marbles Sikanderpur Marble Market, Mehrauli-Gurgaon Rd, opp. metro pillar no.20, Sikanderpur, Sector 26, Gurugram, Haryana 122002, India",4.4,20,https://maps.google.com/?cid=15506263502717675066&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Uniformsonweb,manufacturer,manufacturer,9891194126,http://uniformsonweb.com/,"Essel Towers, 819 Ews, Sector 28, Sushant Lok Phase I, Gurugram, Haryana 122009, India",4.8,18,https://maps.google.com/?cid=7843565520081786143&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Jogendra Singh (Marble & Granite Supplier),manufacturer,manufacturer,9810004145,,"Marble Market, near Aya Nagar, Arjan Garh, Aya Nagar, New Delhi, Gurugram, Delhi 110047, India",5,18,https://maps.google.com/?cid=12155605757418106518&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Shree Vinayak Industries,manufacturer,manufacturer,8700578040,,"Mahindra Singh Compound, near Passport Office, opp. Lumax Industries, Phase IV, Sector 18, Gurugram, Haryana 122015, India",5,18,https://maps.google.com/?cid=9878815598119096307&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Variety Innovation Venture Private Limited,manufacturer,manufacturer,8604386046,https://www.unboxindustry.com/,"619, Ground Floor, Udyog Vihar 3, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016, India",4.1,17,https://maps.google.com/?cid=13184623289774185828&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Flameback Tech,manufacturer,manufacturer,9999333268,https://www.flamebacktech.com/,"Sector 28, DLF Phase 1, Gurugram, Haryana 122002, India",5,16,https://maps.google.com/?cid=4394694040324006862&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
DPI Daylighting Private Limited,manufacturer,manufacturer,9811030204,http://dpidaylighting.com/,"501, MGF Metropolis Mall, Mehrauli-Gurgaon Rd, Sector 28, Maruti Housing Colony, Gurugram, Haryana 122009, India",5,16,https://maps.google.com/?cid=16253974282587412114&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Supreme Marble & Granite - Somany Dealer,manufacturer,supplier,8750301675,,"Marble Market, Mehrauli-Gurgaon Rd, opposite Metro Pillar N0. 14, Sikanderpur, Arjan Garh, Aya Nagar, Gurugram, Haryana 122002, India",5,16,https://maps.google.com/?cid=17746394006255436774&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
